City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Longyearbyen,78.2186,15.6401,10.4,72,75,3.44,SJ,1615608914
Ţaga,46.95,24.05,34.0,100,90,4.61,RO,1615609142
Avanigadda,16.0215,80.9181,86.0,58,0,4.61,IN,1615609142
Ocós,14.5094,-92.1933,75.2,88,20,7.85,GT,1615609142
Mogadishu,2.0371,45.3438,79.7,78,74,15.77,SO,1615609058
Mbini,1.574,9.6134,73.4,100,40,2.91,GQ,1615609143
Qeshm,26.9581,56.2719,77.0,73,75,18.41,IR,1615608911
Vardø,70.3705,31.1107,21.67,84,99,15.35,NO,1615609143
Port-Gentil,-0.7193,8.7815,78.73,75,100,6.85,GA,1615609143
Ambilobe,-13.2,49.05,74.97,91,2,1.81,MG,1615609143
Nishihara,26.1842,127.7558,69.8,45,75,16.11,JP,1615609144
Liverpool,53.4106,-2.9779,42.8,81,90,20.71,GB,1615609102
Hāgere Hiywet,8.9833,37.85,59.34,58,5,4.97,ET,1615608905
Batemans Bay,-35.7167,150.1833,82.99,48,11,7.99,AU,1615609144
Itarema,-2.9248,-39.9167,77.67,85,100,7.99,BR,1615609144
Kloulklubed,7.0419,134.2556,84.2,74,75,8.05,PW,1615609039
Rønne,55.1009,14.7066,39.2,100,75,24.16,DK,1615609145
Almaznyy,48.0448,40.045,21.2,79,20,17.9,RU,1615609145
Senneterre,48.3835,-77.2328,8.6,78,90,9.22,CA,1615609145
Taoudenni,22.6783,-3.9836,63.18,44,62,10.92,ML,1615609145
Departamento de Maldonado,-34.6667,-54.9167,64.4,77,0,3.44,UY,1615609146
Lyambir',54.2817,45.1249,2.05,93,78,13.58,RU,1615609146
Ponta do Sol,32.6667,-17.1,55.99,67,100,1.99,PT,1615609146
Craig,40.5153,-107.5464,33.8,75,75,8.05,US,1615608931
Ergani,38.2653,39.7621,32.0,74,0,5.75,TR,1615609147
Hornepayne,49.2138,-84.7705,4.05,93,59,5.73,CA,1615609147
Coquimbo,-29.9533,-71.3436,60.8,82,90,4.61,CL,1615609147
Japura,-0.3167,102.35,88.63,57,89,3.22,ID,1615609147
Lobito,-12.3481,13.5456,78.64,85,100,1.16,AO,1615609148
Kalmunai,7.4167,81.8167,83.3,74,27,10.67,LK,1615609148
Verkhoyansk,67.5447,133.385,-6.05,74,17,3.62,RU,1615608960
Kangaatsiaq,68.3065,-53.4641,10.49,92,100,4.54,GL,1615609148
Marabu,4.4148,114.0089,86.0,79,40,5.75,MY,1615609148
Port Macquarie,-31.4333,152.9167,84.99,65,1,14.97,AU,1615609149
Mackay,-21.15,149.2,87.01,62,4,10.36,AU,1615609149
Camacha,33.0833,-16.3333,60.8,77,75,10.36,PT,1615609149
Pitimbu,-7.4706,-34.8086,77.0,88,20,3.44,BR,1615609149
Jining,35.405,116.5814,60.22,51,0,4.5,CN,1615609150
Nortelândia,-14.4547,-56.8028,72.36,91,100,2.37,BR,1615609150
Sitka,57.0531,-135.33,32.0,74,75,4.61,US,1615609098
Rome,43.2128,-75.4557,30.2,55,1,16.11,US,1615609150
Seoul,37.5683,126.9778,55.4,44,100,2.3,KR,1615608854
Winona,43.9666,-91.7668,30.2,86,1,3.06,US,1615609151
Bauchi,10.5,10.0,80.53,41,88,11.1,NG,1615609151
Guerrero Negro,27.9769,-114.0611,55.56,64,0,12.77,MX,1615608996
Goundam,16.4145,-3.6708,63.91,24,31,9.01,ML,1615609151
Tygda,53.1167,126.3333,33.03,100,46,4.12,RU,1615609152
Tezu,27.9167,96.1667,88.45,28,0,4.18,IN,1615608974
Kargil,34.5667,76.1,15.33,74,64,2.1,IN,1615609152
Chico,39.7285,-121.8375,62.6,27,1,6.91,US,1615608563
Rocky Mountain House,52.3668,-114.9188,28.4,86,97,1.14,CA,1615609152
Miles City,46.4083,-105.8406,39.2,26,1,9.22,US,1615609152
Llanes,43.4198,-4.7549,45.0,91,50,1.01,ES,1615609153
Noyabrsk,63.1994,75.4507,5.54,91,100,20.69,RU,1615609153
Gitarama,-2.0744,29.7567,62.6,77,20,2.42,RW,1615609153
Luanda,-8.8368,13.2343,77.0,83,75,8.05,AO,1615609154
Solnechnyy,50.7214,136.6319,38.32,81,5,7.76,RU,1615609154
Libenge,3.65,18.6333,71.13,97,97,3.36,CD,1615609154
Harper,4.375,-7.7169,78.53,88,56,7.87,LR,1615609154
Axum,14.1245,38.7244,56.61,53,2,5.99,ET,1615609155
Jimo,36.3897,120.4622,59.0,51,0,4.47,CN,1615609155
Polovinnoye,54.7914,65.9864,3.25,94,86,11.14,RU,1615609155
Āgaro,7.85,36.65,62.74,69,76,1.95,ET,1615609155
Esim,4.8699,-2.2405,80.1,86,96,7.43,GH,1615608978
La Ronge,55.1001,-105.2842,26.6,68,82,2.3,CA,1615609156
Rabo de Peixe,37.8,-25.5833,59.0,88,75,11.5,PT,1615609156
Litovko,49.2361,135.1742,32.85,88,0,11.21,RU,1615609156
Fasa,28.9383,53.6482,59.0,51,4,5.06,IR,1615609157
Kidal,18.4411,1.4078,62.17,34,0,11.21,ML,1615609157
Kargala,56.6208,83.9607,5.0,78,100,5.99,RU,1615609157
Namtsy,62.7161,129.6658,10.4,72,0,6.71,RU,1615609158
Ţibana,46.9833,27.3333,32.0,93,72,6.91,RO,1615609158
Natal,-5.795,-35.2094,80.6,78,40,9.22,BR,1615609158
Ondangwa,-17.9167,15.95,71.08,66,9,5.97,NA,1615609159
Sibolga,1.7427,98.7792,86.72,61,4,3.6,ID,1615609159
Comrat,46.3003,28.6572,34.68,83,86,1.92,MD,1615609159
Havelock,34.8791,-76.9013,64.0,72,75,9.22,US,1615609026
San Quintín,30.4833,-115.95,52.63,70,0,12.35,MX,1615609160
Benguela,-12.5763,13.4055,78.85,83,100,2.51,AO,1615609160
Navalcarnero,40.2891,-4.012,46.99,75,0,1.14,ES,1615609160
Saint-Michel-des-Saints,46.6834,-73.9159,17.64,80,100,16.87,CA,1615609160
Asău,46.4333,26.4,37.99,61,100,3.15,RO,1615609161
Dinājpur,25.6272,88.6386,88.21,24,0,1.45,BD,1615608903
North Myrtle Beach,33.816,-78.68,63.0,82,1,6.91,US,1615609161
Mazatlán,23.2167,-106.4167,69.01,63,1,13.98,MX,1615609161
Darhan,49.4867,105.9228,46.98,31,99,11.01,MN,1615609162
Poltavka,54.3663,71.7632,-7.51,93,0,12.44,RU,1615609162
St. George's,12.0564,-61.7485,78.8,83,20,11.5,GD,1615609162
Båtsfjord,70.6345,29.7185,15.58,88,98,12.01,NO,1615609162
Bragança,-1.0536,-46.7656,72.64,97,100,1.52,BR,1615609163
Pontes e Lacerda,-15.2261,-59.3353,72.0,93,99,1.3,BR,1615608978
Cidreira,-30.1811,-50.2056,70.48,79,0,6.04,BR,1615608922
Verkhnevilyuysk,63.4453,120.3167,12.52,91,100,8.41,RU,1615609163
Pangai,-19.8,-174.35,82.4,69,20,7.61,TO,1615609163
Port Hueneme,34.1478,-119.1951,51.8,82,1,9.75,US,1615609163
Colares,38.7992,-9.4469,51.01,80,1,15.01,PT,1615609164
Nāthdwāra,24.9333,73.8167,77.0,44,20,2.3,IN,1615609164
Maţāy,28.419,30.7792,47.62,84,5,8.61,EG,1615609164
Salmās,38.1973,44.7653,26.6,74,75,4.61,IR,1615609164
Port Blair,11.6667,92.75,84.2,79,20,5.75,IN,1615609165
Fortuna,40.5982,-124.1573,48.99,93,90,3.49,US,1615609165
Ürümqi,43.801,87.6005,30.2,93,90,8.95,CN,1615609165
Matamba,-8.9833,33.9667,53.51,92,83,3.11,TZ,1615609166
Le Port,-20.9373,55.2919,78.8,73,20,21.85,RE,1615609166
Nome,64.5011,-165.4064,3.2,85,90,23.02,US,1615609091
Verkhnyaya Inta,65.9811,60.3094,11.98,90,100,25.81,RU,1615609166
Lata,40.1629,-8.3327,48.99,87,55,2.28,PT,1615609166
Palmeira das Missões,-27.8994,-53.3136,58.3,78,0,5.73,BR,1615609167
Aswān,24.0934,32.907,57.27,42,45,10.18,EG,1615609167
Caraí,-17.1889,-41.6947,61.7,88,33,3.29,BR,1615609167
Liaozhong,41.5061,122.7242,50.0,40,20,4.47,CN,1615609167
Howard Springs,-12.497,131.047,93.99,70,40,9.22,AU,1615609168
Adana Province,36.985,35.2881,39.2,81,0,4.61,TR,1615609168
Lüderitz,-26.6481,15.1594,65.26,71,0,4.03,NA,1615609168
Qujing,25.4833,103.7833,63.39,53,71,5.21,CN,1615609168
Eureka,40.8021,-124.1637,48.99,100,40,4.23,US,1615609037
Hay River,60.8156,-115.7999,3.2,55,81,6.91,CA,1615609169
Zonguldak,41.25,31.8333,31.39,68,39,4.36,TR,1615608878
Nesna,66.1967,13.0213,31.08,90,100,15.66,NO,1615609169
Worcester,42.3334,-71.8328,42.8,36,1,34.52,US,1615609169
Itaueira,-7.6033,-43.0256,71.62,94,52,3.18,BR,1615609170
La Rioja,42.25,-2.5,42.01,100,0,5.19,ES,1615608910
Ankara,39.9199,32.8543,30.99,86,0,1.61,TR,1615609170
Kavaratti,10.5669,72.642,83.55,63,0,6.26,IN,1615609042
Bondo,3.8146,23.6866,70.25,90,93,2.08,CD,1615609170
Belaya Gora,68.5333,146.4167,-9.15,89,16,3.04,RU,1615609171
Bratsk,56.1325,101.6142,23.0,58,20,4.47,RU,1615609171
Codrington,-38.2667,141.9667,59.58,73,100,20.0,AU,1615609171
Tarata,-17.6167,-66.0167,59.0,67,40,3.06,BO,1615609171
Zrnovci,41.8542,22.4444,43.0,87,0,2.3,MK,1615609172
Baykal'sk,51.5058,104.1469,38.25,85,81,1.97,RU,1615609172
Uren',57.4552,45.7852,10.9,87,99,13.29,RU,1615609172
Pachperwa,27.5167,82.65,83.53,25,100,15.86,IN,1615609172
Humboldt,40.6665,-123.9178,48.99,93,90,1.59,US,1615609173
Zliten,32.4674,14.5687,56.23,68,100,7.94,LY,1615609173
Madang,-5.2246,145.7966,85.77,68,75,7.11,PG,1615609173
Honolulu,21.3069,-157.8583,75.0,94,75,14.97,US,1615608623
Utete,-7.986,38.758,71.04,94,4,1.48,TZ,1615609173
Leh,34.1667,77.5833,21.72,66,0,0.94,IN,1615609174
Jōetsu,37.1483,138.2364,50.0,82,100,1.99,JP,1615609174
Eyl,7.9803,49.8164,75.87,77,47,9.64,SO,1615609174
Vestmannaeyjar,63.4427,-20.2734,33.94,59,97,26.53,IS,1615609175
Moscow,55.7522,37.6156,21.2,79,40,13.42,RU,1615608941
Russell,32.3502,-85.1999,60.8,88,1,3.44,US,1615609175
Kauhajoki,62.4333,22.1833,26.01,93,90,6.91,FI,1615609175
Beloha,-25.1667,45.05,73.15,77,0,14.79,MG,1615609175
Mount Darwin,-16.7725,31.5838,62.22,99,50,3.89,ZW,1615609176
Bosaso,11.2842,49.1816,75.67,56,0,11.27,SO,1615608933
Blacksburg,37.2296,-80.4139,55.4,76,40,6.55,US,1615609176
Provideniya,64.3833,-173.3,30.4,96,100,32.82,RU,1615609176
Nicoya,10.1483,-85.452,78.8,61,0,18.41,CR,1615609177
Port Lincoln,-34.7333,135.8667,63.5,53,48,20.83,AU,1615609177
Karratha,-20.7377,116.8463,94.95,41,5,9.06,AU,1615609177
Bilibino,68.0546,166.4372,8.91,94,100,3.56,RU,1615609177
Anadyr,64.75,177.4833,33.8,86,75,33.55,RU,1615609178
Half Moon Bay,37.4636,-122.4286,53.6,93,90,8.05,US,1615609064
Kununurra,-15.7667,128.7333,93.2,62,99,8.05,AU,1615609062
Kolosovka,56.4678,73.611,-2.7,91,5,11.97,RU,1615609178
Ileza,61.0533,43.9002,12.79,93,100,11.74,RU,1615609178
Sidi Ali,36.0998,0.4206,49.05,82,0,1.45,DZ,1615609178
Chicama,-7.8447,-79.1469,75.11,66,64,5.41,PE,1615609179
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,77.0,48,97,3.0,AR,1615609089
Preobrazheniye,42.9019,133.9064,43.79,51,58,3.96,RU,1615609179
Charleston,32.7766,-79.9309,62.6,77,20,6.91,US,1615609179
Talnakh,69.4865,88.3972,-9.31,96,100,19.24,RU,1615609180
Ulaanbaatar,47.9077,106.8832,44.6,31,0,2.24,MN,1615608999
Nguru,12.8791,10.4526,78.21,12,30,7.81,NG,1615609180
Najrān,17.4924,44.1277,62.6,25,0,2.3,SA,1615609180
Vulcan,45.3833,23.2667,34.61,99,100,0.85,RO,1615609180
Mayskiy,47.6931,40.1025,21.2,79,20,17.9,RU,1615609181
Salalah,17.0151,54.0924,73.4,78,20,3.44,OM,1615609181
Mogapi,-22.323,27.8349,66.2,100,20,9.22,BW,1615609181
Ibrā’,22.6906,58.5334,76.55,30,8,2.8,OM,1615609181
Maragogi,-9.0122,-35.2225,77.0,84,4,6.98,BR,1615609145
Iquitos,-3.7481,-73.2472,73.4,94,20,2.3,PE,1615609155
Zhezkazgan,47.8043,67.7144,-1.57,78,71,11.43,KZ,1615609182
Akureyri,65.6835,-18.0878,28.4,93,90,19.57,IS,1615609182
Kaeo,-35.1,173.7833,71.01,76,41,3.0,NZ,1615609182
Upington,-28.4478,21.2561,77.0,44,0,10.36,ZA,1615609183
Muros,42.7762,-9.0603,48.0,90,98,8.01,ES,1615609183
Shelburne,44.0787,-80.2041,24.01,79,2,16.06,CA,1615609183
Geraldton,-28.7667,114.6,86.0,30,0,20.71,AU,1615609184
Fukuechō,32.6881,128.8419,57.2,67,75,14.97,JP,1615609184
Elizabeth City,36.2946,-76.2511,64.99,63,20,4.61,US,1615609184
Uruaçu,-14.5247,-49.1408,69.94,93,85,1.68,BR,1615609184
Dali,25.7,100.1833,70.95,32,0,1.72,CN,1615609185
Lewiston,44.1003,-70.2148,37.99,75,75,6.91,US,1615609070
Flin Flon,54.7682,-101.865,24.44,92,98,6.15,CA,1615608908
Inhambane,-23.865,35.3833,77.0,83,40,10.18,MZ,1615609185
Vila Franca do Campo,37.7167,-25.4333,59.0,88,75,11.5,PT,1615609044
Jalingo,8.8833,11.3667,79.97,65,46,4.92,NG,1615609185
Ayr,55.4627,-4.6339,37.99,92,86,9.78,GB,1615609185
Arrecife,28.963,-13.5477,62.6,72,75,10.36,ES,1615609186
Kamaishi,39.2667,141.8833,39.2,93,75,5.75,JP,1615609186
Hambantota,6.1241,81.1185,84.2,79,20,12.66,LK,1615609186
Jiuquan,39.7432,98.5174,61.97,12,42,18.68,CN,1615609187
Praia da Vitória,38.7333,-27.0667,57.99,94,75,11.1,PT,1615609187
Tautira,-17.7333,-149.15,82.4,78,40,5.75,PF,1615609187
Hakkâri Province,37.5833,44.1667,11.82,82,13,5.3,TR,1615609187
Mékhé,15.1097,-16.6218,71.6,35,59,2.3,SN,1615609188
Inuvik,68.3499,-133.7218,-13.0,84,100,6.91,CA,1615609075
Aklavik,68.2191,-135.0107,-13.0,84,99,6.91,CA,1615609188
Lubango,-14.9172,13.4925,60.37,82,62,0.76,AO,1615609188
Kupang,-10.1667,123.5833,86.0,74,20,6.91,ID,1615609188
Sungai Raya,0.7,108.9,88.29,60,17,4.88,ID,1615609189
Atambua,-9.1061,124.8925,82.22,74,81,2.71,ID,1615609189
Mayna,54.1135,47.6231,-0.58,93,59,9.1,RU,1615609189
Kaminoyama,38.1539,140.2736,39.2,93,75,9.22,JP,1615609189
Bowmore,34.9421,-79.3031,63.0,67,1,3.44,US,1615609190
Muisne,0.6,-80.0333,76.69,86,100,2.48,EC,1615609190
